Country,Countrycode,BiocapPerCap_1996,BiocapPerCap_1986,BiocapPerCap_1971,TEF_Consumption,Total_Biocapacity,Overshoot,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014,GenderGapIndex_2018,GGGeconomicsub_2018,GGGeducationsub_2018,GGGhealthsub_2018,GGGpoliticalsub_2018,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
Cyprus,CYP,0.565614734,0.590952808,1.022077036,3.7,0.3,-3.47,29912.19003,32002.23422,NA,27182.50243,29081.8161,30926.45172,66.81,66.881,67.031,0.684,0.679,0.998,0.967,0.092,7.68,6.92,6.13,9.36,8.27,7.72
Czech Republic,CZE,2.473962695,NA,NA,5.6,2.6,-2.99,29119.61661,31295.25952,33435.50918,20343.68375,21863.64165,23358.87295,73.792,73.57,73.384,0.693,0.651,1,0.98,0.14,7.75,6.66,6.4,9.28,8.22,8.19
Czechoslovakia,NA,NA,2.412009144,2.425298602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,DNK,4.760571637,4.882177243,4.55534147,6.8,4.2,-2.63,45057.08345,46906.75361,48419.43788,59437.94732,61877.97648,63873.46401,87.874,87.642,87.41,0.778,0.734,1,0.971,0.406,7.89,4.71,8.08,9.84,8.47,8.37
Djibouti,DJI,1.047799471,1.0491672,2.546917251,2.4,0.7,-1.68,NA,NA,NA,NA,NA,NA,77.777,77.528,77.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominica,DMA,1.216561594,1.213635816,1.044772068,2.4,1,-1.31,10461.62133,10407.83723,9875.788887,7091.455439,7054.997651,6694.346371,70.483,69.88,69.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,DOM,0.59244932,0.73159932,0.935454194,1.7,0.6,-1.11,12892.32524,14374.5065,15748.38431,6301.697662,7026.179709,7697.723623,81.074,79.436,77.67,0.701,0.65,0.997,0.98,0.179,6.92,6.43,4.11,9.51,7.94,6.63
Ecuador,ECU,3.103487041,3.777047321,5.243771769,1.7,2,0.28,10868.11941,10394.06076,10412.19927,5412.131646,5176.058803,5185.091461,63.821,63.534,63.261,0.729,0.657,0.996,0.978,0.283,6.28,6.52,4,8.33,6.52,6.04
"Egypt, Arab Rep.",EGY,0.478719719,0.380702269,0.457818051,1.8,0.4,-1.36,10032.48205,10460.90642,11013.73549,2648.294169,2761.386198,2907.317585,42.704,42.732,42.839,0.614,0.421,0.975,0.974,0.087,5.05,4.86,4.04,5.77,5.81,4.78
El Salvador,SLV,0.715139215,0.787015035,1.067056314,2.1,0.6,-1.46,6847.94605,7119.024091,7393.006735,3252.566502,3381.320343,3511.453782,72.023,70.501,68.874,0.69,0.582,0.992,0.98,0.206,7.16,8.41,3.57,9.85,7.63,6.33
Equatorial Guinea,GNQ,6.773440404,9.632711442,NA,1.9,2.6,0.72,31743.41075,24296.60358,20181.13296,16130.33637,12346.25956,10254.99325,72.143,71.138,70.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
